timestampUTC,localTime,open,high,low,close,volume,movingAverage,ema,rsi,macd,bollingerUpper,bollingerLower
2025-08-04T12:00:00.000Z,4/8/2025, 17:30:00,203.7,204.43,202.38,203.9,0,203.22948570190425,203.3269570890863,52.63,0.49878867752451583,204.6787973346574,201.78017406915112
2025-08-04T12:30:00.000Z,4/8/2025, 18:00:00,203.82,212.015,203.8112,203.8244,0,203.22970533569332,203.37433260441142,51.67,0.4789023895789626,204.67937614763966,201.780034523747
2025-08-04T13:00:00.000Z,4/8/2025, 18:30:00,203.89,204.75,203.57,204.5,0,203.295205213623,203.4815390230389,58.86,0.5117584045551666,204.84659135828338,201.74381906896264
2025-08-04T13:30:00.000Z,4/8/2025, 19:00:00,204.5050048828125,206.30999755859375,204.19500732421875,206.1699981689453,9095177,203.49020490844723,203.73758275122046,70.53,0.6648875191725665,205.41306188678965,201.5673479301048
2025-08-04T14:00:00.000Z,4/8/2025, 19:30:00,206.19500732421875,206.83999633789062,205.94000244140625,206.75999450683594,4272373,203.70570463378903,204.0254314898505,73.41,0.8243486414062886,206.0366954072382,201.37471386033985
2025-08-04T14:30:00.000Z,4/8/2025, 20:00:00,206.75999450683594,207.8800048828125,206.0706024169922,207.19500732421875,5788558,203.94645499999996,204.3272958550284,75.31,0.974590159740643,206.6455702491993,201.24733975080062
2025-08-04T15:00:00.000Z,4/8/2025, 20:30:00,207.19500732421875,207.40989685058594,205.74000549316406,205.77000427246094,3030065,204.10897021362302,204.46469665668866,60.09,0.9675188533411188,206.83615168423296,201.3817887430131
2025-08-04T15:30:00.000Z,4/8/2025, 21:00:00,205.75999450683594,205.8800048828125,205.26499938964844,205.2899932861328,2504305,204.23946987792968,204.54329633568335,55.99,0.9126613254481981,206.93018912180804,201.54875063405132
2025-08-04T16:00:00.000Z,4/8/2025, 21:30:00,205.3000030517578,205.5050048828125,203.92999267578125,203.93499755859375,3255121,204.30221975585937,204.48536311881767,46.36,0.7511902546691545,206.9015218312771,201.70291768044163
2025-08-04T16:30:00.000Z,4/8/2025, 22:00:00,203.94000244140625,204.38999938964844,203.86500549316406,204.13999938964844,2909586,204.3822197253418,204.45247133508727,47.82,0.6324744306994319,206.8550623597722,201.9093770909114
2025-08-04T17:00:00.000Z,4/8/2025, 22:30:00,204.14340209960938,204.47999572753906,203.94000244140625,204.14999389648438,2137208,204.470719420166,204.42366395998224,47.9,0.5330530542804013,206.77129128649162,202.1701475538404
2025-08-04T17:30:00.000Z,4/8/2025, 23:00:00,204.13999938964844,204.1999969482422,203.57000732421875,203.71139526367188,2108157,204.5432891833496,204.35582884604793,44.87,0.41409620969037064,206.64315203458585,202.44342633211335
2025-08-04T18:00:00.000Z,4/8/2025, 23:30:00,203.72000122070312,204.22000122070312,203.41000366210938,203.42999267578125,2551068,204.52028881713866,204.2676539726892,42.99,0.2937292878614528,206.65800638453507,202.38257124974226
2025-08-04T18:30:00.000Z,5/8/2025, 24:00:00,203.44000244140625,203.52999877929688,202.07000732421875,202.58999633789062,4356339,204.44378863403318,204.10787705508935,37.89,0.12906912229067302,206.73716755378402,202.15040971428235
2025-08-04T19:00:00.000Z,5/8/2025, 24:30:00,202.58999633789062,203.0850067138672,202.27000427246094,202.3249969482422,6238235,204.3510384814453,203.93807894967534,36.42,-0.02254855557620772,206.82270092992076,201.87937603296984
2025-08-04T19:30:00.000Z,5/8/2025, 01:00:00,202.3300018310547,203.4499969482422,201.6750030517578,203.33999633789062,8673869,204.32053829833984,203.88111870093394,45.18,-0.06011175865577911,206.82606600423625,201.81501059244343
2025-08-04T20:00:00.000Z,5/8/2025, 01:30:00,203.35,210.52,202.85,203.37,0,204.29053829833987,203.83244072941642,45.42,-0.08646312980451398,206.82632186099187,201.75475473568787
2025-08-04T20:30:00.000Z,5/8/2025, 02:00:00,203.4,203.4902,199.7357,203.49,0,204.27103829833987,203.79982732661486,46.43,-0.09655080657566373,206.82508239567983,201.71699420099992
2025-08-04T21:00:00.000Z,5/8/2025, 02:30:00,203.49,203.49,203.35,203.48,0,204.26053829833987,203.76936758122298,46.35,-0.10415168374308337,206.8257531954231,201.69532340125664
2025-08-04T21:30:00.000Z,5/8/2025, 03:00:00,203.48,203.49,203.35,203.3575,0,204.23641329833987,203.73014209729698,45.36,-0.11869195293417079,206.82595467613194,201.6468719205478
2025-08-04T22:00:00.000Z,5/8/2025, 03:30:00,203.42,203.47,203.26,203.3,0,204.20641329833987,203.6891761832687,44.88,-0.13331818146926366,206.82459276867775,201.588233828002
2025-08-04T22:30:00.000Z,5/8/2025, 04:00:00,203.4,203.4,203.26,203.36,0,204.18319329833986,203.65782607057645,45.53,-0.1384718570284349,206.82266357239078,201.54372302428894
2025-08-04T23:00:00.000Z,5/8/2025, 04:30:00,203.3599,203.45,203.2,203.4,0,204.12819329833988,203.63327120671204,45.99,-0.13774072697333395,206.78475279868388,201.47163379799588
2025-08-04T23:30:00.000Z,5/8/2025, 05:00:00,203.38,203.4,203.14,203.2497,0,203.9821783898926,203.59674061559662,44.47,-0.1475879529760391,206.49068065898314,201.47367612080205
2025-08-05T08:00:00.000Z,5/8/2025, 13:30:00,203.79,203.86,203.52,203.82,0,203.83517866455082,203.61800341411123,51.08,-0.10812708499554446,205.9957702148328,201.67458711426886
2025-08-05T08:30:00.000Z,5/8/2025, 14:00:00,203.87,203.95,203.78,203.85,0,203.66792829833986,203.640098327053,51.4,-0.07358507065188746,205.18404812114102,202.1518084755387
2025-08-05T09:00:00.000Z,5/8/2025, 14:30:00,203.9,203.92,203.8,203.84,0,203.57142808471684,203.65913658161938,51.28,-0.04648138339516095,204.74767091937323,202.39518525006045
2025-08-05T09:30:00.000Z,5/8/2025, 15:00:00,203.88,203.97,203.81,203.93,0,203.5034284204102,203.68493309765563,52.39,-0.017537111232257985,204.3978963528033,202.6089604880171
2025-08-05T10:00:00.000Z,5/8/2025, 15:30:00,203.93,204.25,203.91,204.16,0,203.51467854248048,203.73017756454556,55.19,0.023687456544763563,204.43583731528335,202.5935197696776
2025-08-05T10:30:00.000Z,5/8/2025, 16:00:00,204.23,204.26,204.1,204.26,0,203.52067857299807,203.78063684411265,56.39,0.06369317253478357,204.45944641750174,202.5819107284944
2025-08-05T11:00:00.000Z,5/8/2025, 16:30:00,204.18,204.3,204.16,204.22,0,203.52417887817384,203.82248095419715,55.74,0.09111995090262326,204.47277710382403,202.57558065252366
2025-08-05T11:30:00.000Z,5/8/2025, 17:00:00,204.21,204.32,203.94,204.05,0,203.54110911499026,203.8441494347498,52.98,0.09800851001244837,204.51423790269718,202.56798032728335
2025-08-05T12:00:00.000Z,5/8/2025, 17:30:00,203.6,204.35,203,203.6,0,203.5496094812012,203.82089710763077,46.41,0.06639118726360493,204.52167679739696,202.57754216500544
2025-08-05T12:30:00.000Z,5/8/2025, 18:00:00,203.58,203.99,203.5,203.8,0,203.61010966430666,203.81890690690403,49.41,0.05681760177930073,204.48110988474915,202.73910944386418
2025-08-05T13:00:00.000Z,5/8/2025, 18:30:00,203.8,204.665,202.9721,203.43,0,203.66535981689455,203.78186815386556,44.45,0.019153765838268555,204.31544906169415,203.01527057209495
2025-08-05T13:30:00.000Z,5/8/2025, 19:00:00,203.43499755859375,204.25909423828125,202.16000366210938,203.3699951171875,6054487,203.6668597558594,203.7426421503724,43.69,-0.015359928366535769,204.31407132050361,203.0196481912152
2025-08-05T14:00:00.000Z,5/8/2025, 19:30:00,203.30999755859375,204.55499267578125,202.89999389648438,204.52999877929688,3758461,203.72485969482426,203.81762849598425,58.55,0.050310374614127795,204.45752843958948,202.99219095005904
2025-08-05T14:30:00.000Z,5/8/2025, 20:00:00,204.53500366210938,204.7904052734375,203.90499877929688,204.22999572753906,3149129,203.76185948120118,203.85690156565613,54.54,0.07725626171384192,204.51772204797302,203.00599691442935
2025-08-05T15:00:00.000Z,5/8/2025, 20:30:00,204.22999572753906,205.33999633789062,204.0749969482422,204.6300048828125,3317060,203.81935972534183,203.93053045300437,58.61,0.1293968607258762,204.6517955737897,202.98692387689394
2025-08-05T15:30:00.000Z,5/8/2025, 21:00:00,204.6199951171875,204.69000244140625,203.6779022216797,203.92010498046875,2233551,203.84748997436526,203.92953755085813,50.05,0.11214295764835924,204.6531891975548,203.0417907511757
2025-08-05T16:00:00.000Z,5/8/2025, 21:30:00,203.91000366210938,203.93190002441406,203.44000244140625,203.7100067138672,1549123,203.8679903100586,203.90862985209708,47.82,0.08058698431000266,204.63695159528132,203.09902902483586
2025-08-05T16:30:00.000Z,5/8/2025, 22:00:00,203.7100067138672,203.9199981689453,203.08999633789062,203.8509979248047,2115470,203.89254020629883,203.90314109711684,49.45,0.06619243530988683,204.62557334726753,203.15950706533013
2025-08-05T17:00:00.000Z,5/8/2025, 22:30:00,203.8300018310547,204.1699981689453,203.75999450683594,204.03500366210938,1605506,203.9242903894043,203.91569943663995,51.57,0.06883884536193818,204.6234651068631,203.22511567194547
2025-08-05T17:30:00.000Z,5/8/2025, 23:00:00,204.0500030517578,204.1199951171875,203.75999450683594,204.02999877929688,1222524,203.96330532836913,203.92658508832156,51.5,0.06972850537363229,204.59098123019052,203.33562942654774
2025-08-05T18:00:00.000Z,5/8/2025, 23:30:00,204.03500366210938,204.3000030517578,203.8300018310547,203.8699951171875,1455182,203.96580508422852,203.92119556726118,49.42,0.056867080708855156,204.59157350647772,203.34003666197933
2025-08-05T18:30:00.000Z,6/8/2025, 24:00:00,203.86000061035156,203.97000122070312,203.19009399414062,203.5800018310547,1740489,203.95230517578125,203.8887009257177,45.79,0.02300904048843222,204.59879090238096,203.30581944918154
2025-08-05T19:00:00.000Z,6/8/2025, 24:30:00,203.59500122070312,203.67999267578125,203.25999450683594,203.3350067138672,1614268,203.9270555114746,203.8359681436367,42.93,-0.023323895419878227,204.62639991891749,203.22771110403173
2025-08-05T19:30:00.000Z,6/8/2025, 01:00:00,203.33999633789062,203.41000366210938,202.6699981689453,202.92999267578125,3784751,203.87705514526368,203.7496847657457,38.63,-0.09166764145840034,204.70040657654826,203.0537037139791
2025-08-05T20:00:00.000Z,6/8/2025, 01:30:00,202.92,208.9028,202.81,203.01,0,203.81955514526368,203.67923859757946,39.91,-0.1377863152949601,204.71343877651532,202.92567151401204
2025-08-05T20:30:00.000Z,6/8/2025, 02:00:00,203.04,210.214,190.0941,202.75,0,203.74405514526364,203.59073968352428,37.19,-0.1930897057333425,204.72701915984348,202.7610911306838
2025-08-05T21:00:00.000Z,6/8/2025, 02:30:00,202.92,210.214,190.0941,202.7,0,203.66805514526365,203.50590733271244,36.67,-0.2382067243875099,204.72437885619664,202.61173143433066
2025-08-05T21:30:00.000Z,6/8/2025, 03:00:00,202.6995,202.92,202.65,202.84,0,203.60755514526366,203.44248758673982,39.22,-0.2596721182118529,204.70716301745577,202.50794727307155
2025-08-05T22:00:00.000Z,6/8/2025, 03:30:00,202.91,202.99,202.57,202.78,0,203.56655514526366,203.37939353085983,38.51,-0.27831683282397535,204.72386735907344,202.4092429314539
2025-08-05T22:30:00.000Z,6/8/2025, 04:00:00,202.74,202.83,202.68,202.79,0,203.51605514526366,203.32326081363507,38.71,-0.2889550926161064,204.7155879038492,202.31652238667812
2025-08-05T23:00:00.000Z,6/8/2025, 04:30:00,202.83,202.86,202.71,202.8,0,203.48455514526367,203.27342645043174,38.92,-0.2931992552154554,204.72390002685486,202.24521026367248
2025-08-05T23:30:00.000Z,6/8/2025, 05:00:00,202.75,202.86,202.7,202.77,0,203.4545553894043,203.22548107420016,38.49,-0.29557631417259245,204.73200159384416,202.17710918496445
2025-08-06T08:00:00.000Z,6/8/2025, 13:30:00,203.65,203.88,203.61,203.82,0,203.41905545043946,203.28210192427633,56.72,-0.2103096074960149,204.61162497809045,202.22648592278847
2025-08-06T08:30:00.000Z,6/8/2025, 14:00:00,203.82,203.93,203.68,203.79,0,203.39705566406252,203.33047316958334,56.21,-0.14350167938764002,204.54434867852936,202.24976264959568
2025-08-06T09:00:00.000Z,6/8/2025, 14:30:00,203.84,203.96,203.73,203.78,0,203.3545554199219,203.37328524867064,56.03,-0.0903216595946219,204.3715867349356,202.3375241049082
2025-08-06T09:30:00.000Z,6/8/2025, 15:00:00,203.78,203.85,203.65,203.71,0,203.34405017089847,203.40535332022583,54.7,-0.053211140844013016,204.3416523779453,202.34644796385163
2025-08-06T10:00:00.000Z,6/8/2025, 15:30:00,203.75,203.86,203.61,203.77,0,203.3470498352051,203.4400815754424,55.67,-0.018743228536891365,204.34938510080983,202.34471456960037
2025-08-06T10:30:00.000Z,6/8/2025, 16:00:00,203.74,203.99,203.6,203.93,0,203.35099993896486,203.48674047301932,58.25,0.02123867687222969,204.36183474986163,202.3401651280681
2025-08-06T11:00:00.000Z,6/8/2025, 16:30:00,203.9,203.99,203.79,203.9,0,203.34424975585938,203.52609852320796,57.57,0.049928332940680775,204.338388956264,202.35011055545476
2025-08-06T11:30:00.000Z,6/8/2025, 17:00:00,203.92,203.999,203.73,203.75,0,203.33024981689454,203.54742247337865,54.19,0.05987118788954149,204.29274920084862,202.36775043294045
2025-08-06T12:00:00.000Z,6/8/2025, 17:30:00,203.88,206,203.37,205.39,0,203.40625006103517,203.72290604734258,72.93,0.1978050920473322,204.70761476057066,202.10488536149967
2025-08-06T12:30:00.000Z,6/8/2025, 18:00:00,205.39,206.91,205.32,206.46,0,203.55024996948242,203.98358166188137,78.98,0.3889749019481883,205.41294854657278,201.68755139239207
2025-08-06T13:00:00.000Z,6/8/2025, 18:30:00,206.4743,206.63,205.5,205.6329,0,203.66514463378908,204.14065959884505,66.6,0.4683395689423264,205.73276721822157,201.5975220493566
2025-08-06T13:30:00.000Z,6/8/2025, 19:00:00,205.60000610351562,210.32000732421875,205.58999633789062,209.5449981689453,16063541,203.99589490844727,204.65535851028318,81.43,0.8372588677402746,207.25839793735233,200.7333918795422
2025-08-06T14:00:00.000Z,6/8/2025, 19:30:00,209.5449981689453,211.14999389648438,209.5,210.75999450683594,7697000,204.38339463378907,205.23675241471676,83.83,1.2136795775961673,208.74223768973164,200.0245515778465
2025-08-06T14:30:00.000Z,6/8/2025, 20:00:00,210.75999450683594,212.27000427246094,210.6300048828125,211.0749969482422,7094416,204.79964448120117,205.79277570362393,84.39,1.5198933817538887,209.96959319907808,199.62969576332426
2025-08-06T15:00:00.000Z,6/8/2025, 20:30:00,211.0800018310547,214.33999633789062,210.66000366210938,214.22500610351562,8523757,205.37589478637696,206.5958452655184,88.65,1.9937665411955265,211.8786556647584,198.8731339079955
2025-08-06T15:30:00.000Z,6/8/2025, 21:00:00,214.22500610351562,214.89999389648438,213.6699981689453,214.6300048828125,8608254,205.96539503051758,207.3610033243083,89.06,2.37462129476242,213.49781928515938,198.4329707758758
2025-08-06T16:00:00.000Z,6/8/2025, 21:30:00,214.63499450683594,214.99000549316406,214.17999267578125,214.49989318847656,6789054,206.55138968994143,208.04089759708623,87.96,2.635571279407543,214.79165908177413,198.31112029810873
2025-08-06T16:30:00.000Z,6/8/2025, 22:00:00,214.5196990966797,214.75,213.86900329589844,214.47999572753906,3939967,207.13588947631837,208.65414503808174,87.78,2.8083970108990854,215.86964170023924,198.4021372523975
2025-08-06T17:00:00.000Z,6/8/2025, 22:30:00,214.48500061035156,214.8699951171875,214.0399932861328,214.5399932861328,3392028,207.722889140625,209.2147020140866,87.86,2.916583391973745,216.7840323698423,198.6617459114077
2025-08-06T17:30:00.000Z,6/8/2025, 23:00:00,214.51499938964844,215.3800048828125,214.08999633789062,214.38499450683594,4959910,208.30363886596678,209.70711082291987,86.27,2.955742809088605,217.50829763534477,199.09898009658878
2025-08-06T18:00:00.000Z,6/8/2025, 23:30:00,214.3800048828125,214.92990112304688,214.1300048828125,214.6024932861328,3258404,208.84276353027343,210.17333772417825,86.64,2.9700899153294813,218.1957112662142,199.48981579433266
2025-08-06T18:30:00.000Z,7/8/2025, 24:00:00,214.61000061035156,214.7949981689453,214.3800048828125,214.39990234375,2821909,209.37325864746094,210.57586768794698,84.39,2.9313222462930355,218.72324290272456,200.02327439219732
2025-08-06T19:00:00.000Z,7/8/2025, 24:30:00,214.39500427246094,214.5500030517578,213.75,213.875,4359900,209.87800864746094,210.89007076528537,78.71,2.825670783058854,219.05402858560572,200.70198870931617
2025-08-06T19:30:00.000Z,7/8/2025, 01:00:00,213.88499450683594,214.4199981689453,212.80999755859375,213.25,9553119,210.35500864746095,211.1148259304963,72.45,2.6608364938234104,219.1841889551973,201.5258283397246
2025-08-06T20:00:00.000Z,7/8/2025, 01:30:00,213.28,214.61,203.35,213,0,210.81650864746098,211.29436631806809,70.05,2.4814268769714545,219.1728968612824,202.46012043363956
2025-08-06T20:30:00.000Z,7/8/2025, 02:00:00,212.9,213.25,208.5417,211.6,0,211.20000864746098,211.3234742877759,58.38,2.200904506196025,218.93815483693578,203.46186245798617
2025-08-06T21:00:00.000Z,7/8/2025, 02:30:00,211.57,220.926,211.46,211.82,0,211.596008647461,211.37076245084486,59.52,1.9735903466859952,218.5724328787221,204.61958441619987
2025-08-06T21:30:00.000Z,7/8/2025, 03:00:00,211.76,220.7,211.7,220.5,0,212.433508647461,212.2402136460025,81.3,2.465425801808493,219.4626701989221,205.4043470959999
2025-08-06T22:00:00.000Z,7/8/2025, 03:30:00,220.57,220.85,213.25,220.1599,0,213.172003647461,212.99446948924034,79.5,2.795540465487818,220.18947003566592,206.15453725925607
2025-08-06T22:30:00.000Z,7/8/2025, 04:00:00,220.11,221,218.85,219.23,0,213.81050364746096,213.5883295378841,74.62,2.94813924226807,220.58868709720286,207.03232019771906
2025-08-06T23:00:00.000Z,7/8/2025, 04:30:00,219.29,220.2,219.2,219.78,0,214.51785864746097,214.178012439038,75.57,3.077974303936145,220.6574599009511,208.37825739397084
2025-08-06T23:30:00.000Z,7/8/2025, 05:00:00,219.8,220.05,219.1,219.26,0,215.0036087390137,214.6620112543677,72.79,3.10313881887339,221.02877293593144,208.97844454209599
2025-08-07T08:00:00.000Z,7/8/2025, 13:30:00,218.47,219.7,218.38,219.57,0,215.44410901367192,215.12943875395175,73.41,3.1122205463157115,221.45203503779186,209.43618298955198
2025-08-07T08:30:00.000Z,7/8/2025, 14:00:00,219.57,219.74,219.08,219.65,0,215.8728591662598,215.55996839643254,73.58,3.0902507254079694,221.7956916041766,209.95002672834298
2025-08-07T09:00:00.000Z,7/8/2025, 14:30:00,219.68,220.1,219.41,220.08,0,216.165608861084,215.9904475967723,74.53,3.072123364578175,222.308414198067,210.022803524101
2025-08-07T09:30:00.000Z,7/8/2025, 15:00:00,220.1,220.32,219.9,220.07,0,216.43760861694335,216.3789763970797,74.46,3.022113342679262,222.76337813984165,210.11183909404505
2025-08-07T10:00:00.000Z,7/8/2025, 15:30:00,220.09,220.35,219.81,219.83,0,216.70411395751952,216.70764531164355,72.78,2.929346364351858,223.12921903941742,210.27900887562163
2025-08-07T10:30:00.000Z,7/8/2025, 16:00:00,219.83,219.98,219.15,219.88,0,216.9741141711426,217.00977432958226,72.92,2.8272714227637152,223.45626542692045,210.49196291536472
2025-08-07T11:00:00.000Z,7/8/2025, 16:30:00,219.92,220.08,218.9,219.05,0,217.19961450683596,217.2040815362887,66.9,2.6488677343654388,223.6410238864293,210.7582051272426
2025-08-07T11:30:00.000Z,7/8/2025, 17:00:00,219.09,219.69,218.74,219.5,0,217.45536478149415,217.42274043759454,68.42,2.5148036738327164,223.83533809790498,211.07539146508333
2025-08-07T12:00:00.000Z,7/8/2025, 17:30:00,219.51,220.39,217.94,219.55,0,217.70274011718752,217.62533658639506,68.6,2.3850976016337597,224.00424830786605,211.40123192650898
2025-08-07T12:30:00.000Z,7/8/2025, 18:00:00,219.5,219.59,218.75,218.86,0,217.925745,217.74292357816697,63.44,2.201252700604556,224.0573176679132,211.79417233208682
2025-08-07T13:00:00.000Z,7/8/2025, 18:30:00,218.88,219.4,205.76,218.85,0,218.17449500000004,217.84835942786535,63.36,2.0313314510733846,224.0258042194739,212.32318578052616
2025-08-07T13:30:00.000Z,7/8/2025, 19:00:00,218.875,220.3300018310547,216.5800018310547,219.55499267578125,22504992,218.4897446337891,218.01089592766687,66.36,1.9312919225733935,223.90927550103635,213.07021376654183
2025-08-07T14:00:00.000Z,7/8/2025, 19:30:00,219.58999633789062,219.99000549316406,217.55999755859375,218.27000427246094,8260664,218.75324484741213,218.03557291288536,57.19,1.728398152428781,223.55697082910223,213.94951886572204
2025-08-07T14:30:00.000Z,7/8/2025, 20:00:00,218.05999755859375,219.14549255371094,217.64999389648438,219.14549255371094,5409315,219.13051947509766,218.14127954534493,61.13,1.6195784728718365,222.63814374397214,215.62289520622318
2025-08-07T15:00:00.000Z,7/8/2025, 20:30:00,219.14500427246094,220.1300048828125,218.97000122070312,219.62899780273438,6547996,219.5209693652344,218.28296699842963,63.15,1.5544343737351198,220.54789714956706,218.49404158090175
2025-08-07T15:30:00.000Z,7/8/2025, 21:00:00,219.6199951171875,220.19979858398438,219.4199981689453,219.60499572753906,5213141,219.47621915161136,218.40887449644006,62.97,1.4837665023305533,220.40157434660821,218.5508639566145
2025-08-07T16:00:00.000Z,7/8/2025, 21:30:00,219.60000610351562,220.33999633789062,219.5500030517578,219.9149932861328,4683684,219.463973815918,218.5523143811727,64.34,1.436220066418997,220.35879396078346,218.56915367105253
2025-08-07T16:30:00.000Z,7/8/2025, 22:00:00,219.9199981689453,220.2100067138672,218.8000030517578,219.2050018310547,4112842,219.46272390747077,218.61447509068526,58.95,1.3259639100556342,220.3589166272885,218.56653118765306
2025-08-07T17:00:00.000Z,7/8/2025, 22:30:00,219.22000122070312,219.61000061035156,213.25,218.7100067138672,3069803,219.40922424316415,218.6235733405121,55.46,1.184983391761051,220.34991353600304,218.46853495032525
2025-08-07T17:30:00.000Z,7/8/2025, 23:00:00,218.72000122070312,219.52000427246094,218.71009826660156,219.27000427246094,2532860,219.40972445678716,218.6851381911739,58.46,1.1056966554151018,220.3501064057345,218.46934250783983
2025-08-07T18:00:00.000Z,7/8/2025, 23:30:00,219.27000427246094,219.72999572753906,219.035400390625,219.5,2196493,219.40622445678719,218.76274407772877,59.66,1.0493241233760386,220.3447133990215,218.46773551455288
2025-08-07T18:30:00.000Z,8/8/2025, 24:00:00,219.49000549316406,220.85000610351562,219.24349975585938,220.42999267578125,4603025,219.44522409057626,218.92152965849567,64.17,1.0673869499219961,220.48079764137023,218.4096505397823
2025-08-07T19:00:00.000Z,8/8/2025, 24:30:00,220.4499969482422,220.57980346679688,219.3000030517578,219.3000946044922,4709110,219.4062288208009,218.9575834628763,55.98,0.9792404641794406,220.4011933816541,218.41126425994767
2025-08-07T19:30:00.000Z,8/8/2025, 01:00:00,219.30450439453125,220.1999969482422,219.25,220.1300048828125,6898669,219.4092290649415,219.06924264572737,60.02,0.9652240606382634,220.4125088830458,218.40594924683722
2025-08-07T20:00:00.000Z,8/8/2025, 01:30:00,220.16,220.75,219.97,220.25,0,219.43022906494153,219.18169572708666,60.58,0.9528151035581516,220.48416260672926,218.3762955231538
2025-08-07T20:30:00.000Z,8/8/2025, 02:00:00,220.25,220.3267,220.03,220.07,0,219.4397290649415,219.2662961340308,59.23,0.9178757200502616,220.5129566743374,218.3665014555456
2025-08-07T21:00:00.000Z,8/8/2025, 02:30:00,220.0522,220.14,205.1877,220.03,0,219.48872906494148,219.33902983555168,58.92,0.876850553825534,220.57570639134374,218.40175173853922
2025-08-07T21:30:00.000Z,8/8/2025, 03:00:00,220.0787,220.2,220,220.1,0,219.5187290649415,219.41150318454677,59.32,0.8402997762554492,220.63793625421735,218.39952187566567
2025-08-07T22:00:00.000Z,8/8/2025, 03:30:00,220.07,220.8,220.03,220.75,0,219.57872906494148,219.5389790717328,62.98,0.853938913187676,220.82019383744,218.33726429244297
2025-08-07T22:30:00.000Z,8/8/2025, 04:00:00,220.7987,221.79,220.75,221.71,0,219.7212290649415,219.745742969663,67.61,0.9314745456765934,221.22627346539008,218.2161846644929
2025-08-07T23:00:00.000Z,8/8/2025, 04:30:00,221.72,221.86,221.28,221.36,0,219.84672906494148,219.89948173445703,64.44,0.9536865136302879,221.45528856527724,218.23816956460573
2025-08-07T23:30:00.000Z,8/8/2025, 05:00:00,221.4,221.58,221.05,221.2895,0,219.9334544311524,220.0318644264135,63.8,0.9545968986238336,221.65295263690916,218.21395622539563
2025-08-08T08:00:00.000Z,8/8/2025, 13:30:00,221.44,221.5,221.14,221.28,0,220.08395421752934,220.1507344810408,63.7,0.9436737313267827,221.71958774754432,218.44832068751435
2025-08-08T08:30:00.000Z,8/8/2025, 14:00:00,221.28,221.31,220.89,220.94,0,220.17367958984377,220.22590262570355,60.32,0.8972390705518762,221.79031662152627,218.55704255816127
2025-08-08T09:00:00.000Z,8/8/2025, 14:30:00,220.92,221.14,220.8,220.95,0,220.23972969970706,220.29486428039846,60.39,0.851431412445578,221.86984130636432,218.6096180930498
2025-08-08T09:30:00.000Z,8/8/2025, 15:00:00,220.91,221.15,220.85,221,0,220.3094799133301,220.36202006321764,60.74,0.8098279035310156,221.9443585705318,218.67460125612843
2025-08-08T10:00:00.000Z,8/8/2025, 15:30:00,221.01,221.05,220.89,220.95,0,220.36123024902344,220.418018152435,60.16,0.7640151497827787,222.00836263328222,218.71409786476465
2025-08-08T10:30:00.000Z,8/8/2025, 16:00:00,220.95,221,220.92,220.99,0,220.4504801574707,220.47249261410786,60.49,0.7226061244839173,222.0293659531151,218.8715943618263
2025-08-08T11:00:00.000Z,8/8/2025, 16:30:00,220.99,221.47,220.99,221.38,0,220.58397982177735,220.55892188895473,63.61,0.7130394394266091,221.99413711093376,219.17382253262093
2025-08-08T11:30:00.000Z,8/8/2025, 17:00:00,221.39,221.47,221.22,221.37,0,220.68897960815428,220.63616742334,63.47,0.6966206469808469,222.00149740036838,219.3764618159402
2025-08-08T12:00:00.000Z,8/8/2025, 17:30:00,221.3,221.8005,220.78,221.04,0,220.76597960815428,220.67462766873618,58.91,0.6494934375491823,221.96635268193404,219.56560653437452
2025-08-08T12:30:00.000Z,8/8/2025, 18:00:00,221,221.2,220.9,221.02,0,220.79547997436526,220.7075202717137,58.64,0.60357333400529,221.99036166640795,219.60059828232258
2025-08-08T13:00:00.000Z,8/8/2025, 18:30:00,221.02,221.15,218.97,220.85,0,220.87297524414066,220.72108976964572,56.23,0.5471564627500527,221.85127948944552,219.8946709988358
2025-08-08T13:30:00.000Z,8/8/2025, 19:00:00,220.42999267578125,222.2998046875,219.25,222.1750030517578,8673005,220.97522515258794,220.85955770127543,67.43,0.6024180582002714,222.04476398408067,219.9056863210952
